Kategori,Provinsi,Kota_Kabupaten,Kecamatan,Harga_Teks,Harga_IDR,Merk,Model,Tahun,Jarak_Tempuh,Tipe_Bahan_Bakar,Transmisi,Tipe_Penjual,Nama_Bursa_Mobil,Kapasitas_Mesin,Warna,Tipe_Bodi,URL_Detail
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 270.000.000,270000000,Toyota,Innova,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947754117
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 155.000.000,155000000,Toyota,ori,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947655768
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 765.000.000,765000000,GWM,4x4,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946093730
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 395.000.000,395000000,Honda,GARANSI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947399981
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 435.000.000,435000000,BMW,520i,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/926812604
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 399.000.000,399000000,Mazda,CX-5,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944979917
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 79.000.000,79000000,Mercedes-Benz,C200,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832620
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 105.000.000,105000000,Volkswagen,Tiguan,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944862447
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 139.000.000,139000000,Toyota,CEPAT,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832545
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 6.800.000.000,6800000000,Porsche,911,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832533
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 485.000.000,485000000,Suzuki,Jimny,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832525
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 18.499.000,18499000,Nissan,Sentra,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832517
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 258.000.000,258000000,Wuling,Cloud,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832508
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 315.000.000,315000000,Toyota,Corolla,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832478
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 113.000.000,113000000,Suzuki,pick,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832458
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 775.000.000,775000000,Toyota,70.JT,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944910037
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 669.000.000,669000000,Toyota,Alphard,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832451
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 775.000.000,775000000,Toyota,70.JT|KM.38.RB|,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944910090
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 120.000.000,120000000,Wuling,KM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832448
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 775.000.000,775000000,Toyota,70.JT|,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944910132
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 399.000.000,399000000,Toyota,GARANSI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947445727
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 375.000.000,375000000,Mazda,CX5,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947342472
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 182.000.000,182000000,Toyota,Camry,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947098365
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 183.000.000,183000000,Honda,E,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947566854
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 399.000.000,399000000,Mazda,6,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832428
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 175.000.000,175000000,Mercedes-Benz,benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832424
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 775.000.000,775000000,Toyota,70.JT|,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944910173
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 513.000.000,513000000,Chery,J6T,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832397
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 430.000.000,430000000,Toyota,Vellfire,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/943403255
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 105.000.000,105000000,Toyota,Kijang,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832291
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 425.000.000,425000000,Mazda,CX30,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947506018
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 139.000.000,139000000,Suzuki,Ertiga,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832262
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 235.000.000,235000000,Nissan,Serena,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944894972
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 730.000.000,730000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944869521
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 185.000.000,185000000,Honda,40RB],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832248
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 123.000.000,123000000,Toyota,Sienta,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832216
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 4.500.000.000,4500000000,Land Rover,Rover,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947505990
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 475.000.000,475000000,BMW,218i,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947505950
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 2.000.000.000,2000000000,Mercedes-Benz,EQS450+,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947505874
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 450.000.000,450000000,Toyota,Fortuner,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947267931
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 113.000.000,113000000,Honda,CASH,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946736844
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 183.000.000,183000000,Daihatsu,PANJANG],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947691253
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 298.000.000,298000000,Mazda,7.000AN]MAZDA,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947748081
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 145.000.000,145000000,Daihatsu,X,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946954900
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 715.000.000,715000000,Toyota,Alphard,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947267847
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 1.095.000.000,1095000000,Toyota,Alphard,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947267764
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 255.000.000,255000000,Toyota,Toyota,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832159
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 228.000.000,228000000,Toyota,Toyota,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832119
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 310.000.000,310000000,Toyota,Fortuner,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832115
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 280.000.000,280000000,Mazda,Mazda,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832018
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 425.000.000,425000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832003
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 278.000.000,278000000,Honda,Honda,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947832000
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 135.000.000,135000000,Kia,Sportage,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947113306
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 155.000.000,155000000,Nissan,Nissan,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831989
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 535.000.000,535000000,BYD,Sealion,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831980
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 335.000.000,335000000,Hyundai,HYUNDAI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831969
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 1.150.000.000,1150000000,Lexus,LM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947505832
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 1.775.000.000,1775000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947505799
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 2.050.000.000,2050000000,Toyota,Land,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946772970
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 825.000.000,825000000,Toyota,Alphard,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947505765
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 375.000.000,375000000,BMW,BMW,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947429183
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 325.000.000,325000000,Honda,HRV,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947671540
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 290.000.000,290000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/940821622
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 219.000.000,219000000,Toyota,1.5,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947224466
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 1.300.000.000,1300000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947505738
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 2.350.000.000,2350000000,Toyota,Land,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946773133
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 220.000.000,220000000,Honda,WRV,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831940
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 243.000.000,243000000,Hyundai,Creta,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831938
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 140.000.000,140000000,Honda,JAZZ,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831917
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 348.000.000,348000000,BYD,M6,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944844901
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 80.000.000,80000000,Daihatsu,X,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831862
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 410.000.000,410000000,Toyota,Fortuner,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831853
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 475.000.000,475000000,Mercedes-Benz,20K],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831842
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 439.000.000,439000000,Hyundai,Ioniq,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831839
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 243.000.000,243000000,Hyundai,Creta,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831835
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 139.000.000,139000000,Toyota,agya,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831806
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 29.000.000,29000000,Hyundai,Accent,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831785
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 359.000.000,359000000,Mazda,CX-5,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831779
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 173.000.000,173000000,Wuling,25JT),NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831769
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 359.000.000,359000000,Mazda,SALE:,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831763
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 585.000.000,585000000,Toyota,G,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947350563
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 290.000.000,290000000,Nissan,KM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947603233
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 425.000.000,425000000,Mazda,FAVORIT!!,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946123715
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 225.000.000,225000000,BMW,320i,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947781461
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 110.000.000,110000000,Hyundai,i20,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831747
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 179.000.000,179000000,Mazda,CX-5,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831717
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 445.000.000,445000000,BMW,KM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831658
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 385.000.000,385000000,Porsche,Cayenne,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831586
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 280.000.000,280000000,Honda,HRV,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947044334
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 399.000.000,399000000,Honda,ROCOD!,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831575
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 125.000.000,125000000,Honda,Brio,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831573
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 340.000.000,340000000,Honda,CRV,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946226256
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 140.000.000,140000000,Honda,CR-V,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831567
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 369.000.000,369000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831557
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 515.000.000,515000000,BMW,BMW,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831550
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 118.000.000,118000000,Suzuki,Ignis,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831538
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 230.000.000,230000000,Honda,BR-V,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831517
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 155.000.000,155000000,Mazda,2,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831512
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 110.000.000,110000000,Dodge,Journey,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831511
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 259.999.000,259999000,Mitsubishi,RECORD•,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947113806
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 359.000.000,359000000,Toyota,LOW,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947442297
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 365.000.000,365000000,Toyota,GARANSI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947761103
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 245.000.000,245000000,Mercedes-Benz,S,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947734760
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 499.000.000,499000000,Mitsubishi,LOW,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947229804
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 260.000.000,260000000,Mitsubishi,RESMI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947113631
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 148.000.000,148000000,Nissan,4x4,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947056933
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 685.000.000,685000000,BMW,[Km15.000],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946613822
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 1.265.000.000,1265000000,Mercedes-Benz,[Km11.000],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946747919
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 114.000.000,114000000,Toyota,Altis,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831455
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 730.000.000,730000000,Mercedes-Benz,[Km24.000],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/945403132
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 1.450.000.000,1450000000,Jeep,[Km19.000],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/943621485
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 165.000.000,165000000,Mazda,2,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947831452
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 495.000.000,495000000,Toyota,[Km6.000],NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947767663
