Kategori,Provinsi,Kota_Kabupaten,Kecamatan,Harga_Teks,Harga_IDR,Merk,Model,Tahun,Jarak_Tempuh,Tipe_Bahan_Bakar,Transmisi,Tipe_Penjual,Nama_Bursa_Mobil,Kapasitas_Mesin,Warna,Tipe_Bodi,URL_Detail
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 4.100.000.000,4100000000,Lexus,Lx700h,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946582308
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 4.100.000.000,4100000000,Lexus,7-Seater,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/945600616
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 4.000.000.000,4000000000,Lexus,New,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947606457
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 4.000.000.000,4000000000,Lexus,New,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947555223
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 4.000.000.000,4000000000,Lexus,New,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946979342
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 4.000.000.000,4000000000,Lexus,New,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946903589
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 4.000.000.000,4000000000,Lexus,New,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946839436
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 4.000.000.000,4000000000,Lexus,LX700,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946168539
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 4.000.000.000,4000000000,Lexus,LX700,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/945811327
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.950.000.000,3950000000,Mercedes-Benz,‼️,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947492674
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.950.000.000,3950000000,BMW,BMW,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946547159
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.950.000.000,3950000000,Porsche,Porsche,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/941448722
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 185.000.000,185000000,Mitsubishi,Sport,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947730772
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 550.000.000,550000000,BYD,BERGARANSI,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947336193
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 315.000.000,315000000,Toyota,KM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947738380
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 3.900.000.000,3900000000,Lexus,LX700H,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947555738
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.900.000.000,3900000000,BMW,XM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947510391
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.900.000.000,3900000000,BMW,M4,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947510141
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 3.900.000.000,3900000000,Lexus,LX700h,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947418017
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.900.000.000,3900000000,Lexus,LX700H,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946980378
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.900.000.000,3900000000,Lexus,LX700h,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946861865
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.900.000.000,3900000000,Lexus,LX700H,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946814263
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 3.900.000.000,3900000000,Lexus,LX700H,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946793911
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.900.000.000,3900000000,BMW,XM,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/945037098
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.900.000.000,3900000000,Porsche,Cayman,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/943462361
